country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),,Economy: Industry (% of GVA),,,Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Labour force participation (female/male pop. %),,,,,,,Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)","Life expectancy at birth (females/males, years)","Population age distribution (0-14 / 60+ years, %)",International migrant stock (000/% of total pop.),,,,,Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.)
Denmark,NorthernEurope,42921,5734,135.1,99,301308,1.6,53149.3,,22.9,,,19.2,78.4,6,58.1/66.0,,,,,,,0.5,87.7,0.6,1.7,82.2/78.1,16.5/25.3,572.5/10.1,,,,,8.6,100.7/102.3,133.4/128.3,96.3/69.7
Djibouti,EasternAfrica,23200,957,41.3,100.7,1737,6.5,1956.3,,21.4,,,23.9,53.2,6.6,36.5/68.5,,,,,,,1.7,77.3,1.6,3.1,63.2/60.0,31.1/6.4,112.4/12.7,,,,,...,60.9/68.6,43.5/52.9,4.0/5.9
Dominica,Caribbean,750,74,98.6,103,512,-1.8,7051.1,,13.2,,,...,...,...,.../...,,,,,,,0.5,69.5,0.8,...,.../...,.../...,6.7/9.2,,,,,-99,114.8/117.2,99.8/101.2,-99
Dominican Republic,Caribbean,48671,10767,222.8,99.2,67103,7,6373.6,,28,,,16.9,70,14.4,52.3/78.6,,,,,,,1.2,79,2.6,2.5,76.4/70.2,29.3/10.2,415.6/3.9,,,,,...,98.7/108.1,81.7/74.1,65.0/35.4
Ecuador,SouthAmerica,257217,16625,66.9,99.9,100177,0.2,6205.1,,34.1,,,19.2,55.1,5.8,49.1/79.9,,,,,,,1.6,63.7,1.9,2.6,78.4/72.8,28.4/10.5,387.5/2.4,,,,,5,107.9/107.4,109.2/105.3,45.3/34.6
Egypt,NorthernAfrica,1002000,97553,98,102.3,315917,4.2,3452.3,,36.3,,,25.3,49.3,11.5,23.1/76.2,,,,,,,2.2,43.1,1.7,3.4,73.0/68.7,33.5/7.9,491.6/0.5,,,,,...,103.8/104.1,85.9/86.3,35.6/36.9
El Salvador,CentralAmerica,21041,6378,307.8,88.5,25850,2.5,4219.4,,25.8,,,20.2,61.2,6.4,49.5/79.5,,,,,,,0.5,66.7,1.4,2.2,77.1/67.9,27.4/11.6,42.0/0.7,,,,,3.5,106.8/111.4,79.7/79.2,30.5/27.7
Equatorial Guinea,MiddleAfrica,28052,1268,45.2,124,13812,-7.4,16344.1,,73.1,,,18,63.2,7.7,71.5/91.8,,,,,,,4.2,39.9,3.1,5,58.4/55.5,37.2/4.4,10.8/1.3,,,,,-99,78.2/80.0,.../...,.../...
Eritrea,EasternAfrica,117600,5069,50.2,100.4,4783,4.8,914.9,,23.5,,,7.6,35.4,7.3,77.8/90.1,,,,,,,2,22.6,5.1,4.4,65.6/61.4,41.8/5.3,15.9/0.3,,,,,...,45.9/53.2,28.1/32.9,1.7/3.4
Estonia,NorthernEurope,45227,1310,30.9,88.2,22460,1.4,17112,,27.4,,,29,67.3,7.2,55.4/69.4,,,,,,,-0.3,67.5,-0.4,1.6,81.2/71.8,16.4/25.9,202.3/15.4,,,,,5.5,98.5/98.3,114.7/115.6,84.8/55.4
Ethiopia,EasternAfrica,1104300,104957,105,99.7,59917,9.6,602.8,,16,,,8.4,21.1,5.7,77.1/89.1,,,,,,,2.6,19.5,4.9,4.6,65.5/61.9,40.6/5.3,1072.9/1.1,,,,,4.5,97.2/106.9,34.4/35.9,5.3/10.9
Falkland Islands (Malvinas),SouthAmerica,12173,3,0.2,110.5,-99,-99,-99,,-99,,,-99,-99,1.2,77.2/86.0,,,,,,,0.3,76.2,1,-99,-99,16.4/15.7,1.6/54.1,,,,,-99,-99,-99,-99
Faroe Islands,NorthernEurope,1393,49,35.3,107.2,-99,-99,-99,,-99,,,...,...,4,79.4/86.0,,,,,,,0.2,42,0.5,2.4,84.5/78.3,21.0/22.5,5.5/11.4,,,,,-99,-99,-99,-99
Fiji,Melanesia,18272,906,49.6,103.1,4391,3.6,4921.9,,18.1,,,2.9,75.8,7.7,37.0/71.2,,,,,,,0.7,53.7,1.5,2.6,72.9/66.9,28.5/9.9,13.8/1.5,,,,,3.9,105.1/106.0,93.4/84.3,.../...
Finland,NorthernEurope,338440,5523,18.2,97.2,231960,0.2,42148.1,,26.8,,,22,73.8,8.9,54.5/61.7,,,,,,,0.4,84.2,0.5,1.8,83.7/77.7,16.4/27.8,315.9/5.7,,,,,7.2,101.4/101.7,156.3/142.8,95.6/79.3
France,WesternEurope,551500,64980,118.7,96.7,2418946,1.3,36304.2,,19.5,,,20.5,76.8,9.8,50.3/59.4,,,,,,,0.4,79.5,0.8,2,85.0/78.8,18.1/25.7,7784.4/12.1,,,,,5.5,105.0/105.7,111.2/110.1,71.0/57.9
French Guiana,SouthAmerica,83534,283,3.4,100,-99,-99,-99,,-99,,,14.9,58.3,21.3,48.4/58.8,,,,,,,2.8,84.4,2.8,3.5,82.6/76.1,33.2/8.4,106.1/39.5,,,,,-99,-99,-99,-99
French Polynesia,Polynesia,4000,283,77.3,103.7,5135,1.6,18161,,11.9,,,16.9,74.2,17,46.4/63.0,,,,,,,0.7,55.9,0.9,2.1,78.6/74.0,23.3/11.9,30.1/10.6,,,,,-99,-99,-99,-99
Gabon,MiddleAfrica,267668,2025,7.9,105.6,13735,3.9,7960.7,,54.5,,,19.1,64.8,18.1,40.7/58.3,,,,,,,3.3,87.2,2.7,4,65.8/63.1,35.9/6.4,268.4/15.6,,,,,2.7,139.9/144.0,-99,.../...
Gambia,WesternAfrica,11295,2101,207.6,98,942,4.7,473.2,,14.9,,,14.4,55.2,29.7,72.2/82.6,,,,,,,3.1,59.6,4.3,5.6,61.6/59.1,45.3/3.8,192.5/9.7,,,,,2.8,96.8/90.1,.../...,2.5/3.7
Georgia,WesternAsia,69700,3912,56.3,91.4,13965,2.8,3491.4,,24.1,,,11.2,44.1,11.4,57.9/79.0,,,,,,,-1.4,53.6,-0.1,2,77.0/68.5,19.2/20.8,168.8/4.2,,,,,2,118.2/115.5,103.8/103.6,47.8/39.2
